statsbomb_match_id,world_cup_year,date,kick_off,competition_stage,stadium,referee,team_name,opponent_name,is_home,goals_scored,goals_conceded,total_shots,shots_on_target,shots_off_target,shots_blocked,shots_open_play,shots_free_kick,shots_penalty,shots_right_foot,shots_left_foot,shots_header,xg,xg_conceded,total_passes,passes_completed,passes_incomplete,avg_pass_length,long_passes,long_passes_completed,short_passes,ground_passes,low_passes,high_passes,through_balls,crosses,corners,free_kicks,goal_kicks,throw_ins,kick_offs,fouls_committed,fouls_won,handballs,yellow_cards,red_cards,second_yellows,offsides,clearances,interceptions,blocks,ball_recoveries,tackles,tackles_won,aerial_duels,aerial_duels_won,aerial_duels_lost,aerial_duels_total,pressures,dribbles_attempted,dribbles_completed,dispossessed,miscontrols,gk_saves,gk_punches,gk_claims,gk_sweeper,ball_possession_pct,possession_sequences,substitutions,fifty_fiftys,shot_accuracy,shot_conversion_rate,xg_per_shot,xg_overperformance,xg_differential,pass_completion_pct,long_pass_completion_pct,long_pass_ratio,cross_ratio,tackle_success_rate,aerial_win_pct,defensive_actions,pressure_intensity,recoveries_per_possession_lost,dribble_success_rate,discipline_index,goal_difference,match_result,is_clean_sheet,possession_differential,set_piece_passes,set_piece_ratio,gk_total_actions
7535,2018,2018-06-17,14:00:00.000,Group Stage,	Solidarnost Arena,Malang Diedhiou,Costa Rica,Serbia,1,0,1,10,3,3,4,10,0,0,4,3,3,0.596,1.9926,481,376,105,21.77,97,55,360,291,45,145,0,11,5,11,2,16,2,18,13,0,2,0,0,0,12,9,17,49,16,5,11,14,11,25,97,16,0,15,12,1,2,0,0,50.7,88,3,1,30.0,0.0,0.0596,-0.596,-1.3966,78.2,56.7,20.2,2.3,31.2,56.0,54,97,1.81,0.0,3.8,-1,L,0,0.7,34,7.1,3
7535,2018,2018-06-17,14:00:00.000,Group Stage,	Solidarnost Arena,Malang Diedhiou,Serbia,Costa Rica,0,1,0,12,2,7,3,11,1,0,4,4,4,1.9926,0.596,439,335,104,22.64,82,42,333,281,46,112,0,14,4,10,5,18,1,13,18,0,2,0,0,3,23,6,19,41,20,13,14,11,14,25,126,15,0,11,16,3,0,2,0,49.3,95,3,1,16.7,8.3,0.166,-0.9926,1.3966,76.3,51.2,18.7,3.2,65.0,44.0,68,126,1.52,0.0,3.3,1,W,1,-0.7,37,8.4,5
7536,2018,2018-06-18,17:00:00.000,Group Stage,	Olimpiyskiy Stadion Fisht ,Janny Sikazwe,Belgium,Panama,1,3,0,15,6,7,2,12,3,0,11,3,1,1.2121,0.6254,610,513,97,20.17,75,39,495,475,59,76,6,16,9,10,4,23,1,17,20,1,3,0,0,1,7,12,10,38,15,13,8,12,8,20,192,17,0,8,9,2,0,0,0,62.9,94,3,0,40.0,20.0,0.0808,1.7879,0.5867,84.1,52.0,12.3,2.6,86.7,60.0,44,192,2.24,0.0,4.7,3,W,1,12.9,46,7.5,2
7536,2018,2018-06-18,17:00:00.000,Group Stage,	Olimpiyskiy Stadion Fisht ,Janny Sikazwe,Panama,Belgium,0,0,3,7,2,5,0,6,1,0,5,1,1,0.6254,1.2121,364,284,80,22.22,79,44,270,237,29,98,1,9,3,14,10,7,1,20,16,0,5,0,0,1,19,15,13,41,17,9,12,8,12,20,237,18,0,5,13,3,1,0,0,37.1,69,3,0,28.6,0.0,0.0893,-0.6254,-0.5867,78.0,55.7,21.7,2.5,52.9,40.0,64,237,2.28,0.0,7.0,-3,L,0,-12.9,34,9.3,4
7537,2018,2018-06-18,20:00:00.000,Group Stage,Volgograd Arena,Wilmar Alexander Roldán Pérez,Tunisia,England,1,1,2,6,1,3,2,5,0,1,4,1,1,0.9457,2.6264,368,285,83,21.58,68,31,284,267,38,63,1,3,2,7,12,11,2,15,9,1,0,0,0,2,12,13,24,34,20,17,16,4,16,20,265,14,0,5,12,5,1,1,0,38.9,76,3,0,16.7,16.7,0.1576,0.0543,-1.6807,77.4,45.6,18.5,0.8,85.0,20.0,69,265,2.0,0.0,1.5,-1,L,0,-11.1,32,8.7,7
7537,2018,2018-06-18,20:00:00.000,Group Stage,Volgograd Arena,Wilmar Alexander Roldán Pérez,England,Tunisia,0,2,1,18,7,8,3,16,2,0,9,2,7,2.6264,0.9457,570,484,86,21.25,106,80,435,410,45,115,0,14,7,14,5,23,1,9,14,0,1,0,0,1,4,6,11,44,10,7,4,16,4,20,188,29,0,9,11,0,0,0,0,61.1,93,3,0,38.9,11.1,0.1459,-0.6264,1.6807,84.9,75.5,18.6,2.5,70.0,80.0,31,188,2.2,0.0,1.9,1,W,0,11.1,49,8.6,0
7538,2018,2018-06-18,14:00:00.000,Group Stage,Stadion Nizhny Novgorod (Nizhniy Novgorod),Joel Antonio Aguilar Chicas,Sweden,South Korea,1,1,0,16,4,4,8,15,0,1,10,2,4,2.0151,0.4144,477,371,106,21.23,85,47,368,317,47,113,0,13,6,12,1,21,1,19,22,0,1,0,0,2,17,7,14,41,15,7,13,14,13,27,115,10,0,9,12,0,1,0,0,55.2,88,3,0,25.0,6.2,0.1259,-1.0151,1.6007,77.8,55.3,17.8,2.7,46.7,51.9,53,115,1.95,0.0,2.9,1,W,1,5.2,40,8.4,1
7538,2018,2018-06-18,14:00:00.000,Group Stage,Stadion Nizhny Novgorod (Nizhniy Novgorod),Joel Antonio Aguilar Chicas,South Korea,Sweden,0,0,1,5,0,2,3,5,0,0,1,2,2,0.4144,2.0151,382,289,93,22.82,85,47,274,250,60,72,0,13,5,12,3,15,1,22,19,0,2,0,0,1,23,8,17,40,12,4,14,13,14,27,148,17,0,8,11,3,2,4,0,44.8,87,3,0,0.0,0.0,0.0829,-0.4144,-1.6007,75.7,55.3,22.3,3.4,33.3,48.1,60,148,2.11,0.0,4.2,-1,L,0,-5.2,35,9.2,9
7539,2018,2018-06-19,17:00:00.000,Group Stage,Otkritie Bank Arena,Nawaf Abdulla Ghayyath Shukralla,Poland,Senegal,1,1,2,10,3,6,1,9,1,0,3,4,3,1.0423,1.4284,585,482,103,21.27,104,69,458,432,68,85,5,8,3,8,3,15,3,7,16,0,1,0,0,3,12,11,8,34,10,6,7,11,7,18,148,11,0,6,17,0,0,1,1,62.0,96,3,0,30.0,10.0,0.1042,-0.0423,-0.3861,82.4,66.3,17.8,1.4,60.0,61.1,41,148,1.48,0.0,1.7,-1,L,0,12.0,29,5.0,2
7539,2018,2018-06-19,17:00:00.000,Group Stage,Otkritie Bank Arena,Nawaf Abdulla Ghayyath Shukralla,Senegal,Poland,0,2,1,7,1,3,3,6,1,0,5,1,1,1.4284,1.0423,382,286,96,23.8,98,52,269,244,29,109,0,12,3,9,9,12,2,17,7,1,1,0,0,2,16,18,16,45,10,5,11,7,11,18,221,18,0,4,12,2,1,1,0,38.0,73,3,0,14.3,28.6,0.2041,0.5716,0.3861,74.9,53.1,25.7,3.1,50.0,38.9,60,221,2.81,0.0,2.7,1,W,0,-12.0,33,8.6,4
