fixture_id,world_cup_year,date,round,team_id,team_name,is_home,opponent_id,opponent_name,goals_scored,goals_conceded,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_pct
135784,2018,2018-06-16T19:00:00+00:00,Group Stage - 1,19,Nigeria,False,3,Croatia,0,2,2,7,14,5,10,4,16,5,1,46.0,1,0,1,399,309,77.0
135785,2018,2018-06-17T12:00:00+00:00,Group Stage - 1,29,Costa Rica,True,14,Serbia,0,1,3,3,10,4,5,5,18,5,1,52.0,2,0,2,449,359,80.0
135785,2018,2018-06-17T12:00:00+00:00,Group Stage - 1,14,Serbia,False,29,Costa Rica,1,0,3,6,10,1,5,5,15,4,3,48.0,2,0,3,418,326,78.0
135786,2018,2018-06-17T15:00:00+00:00,Group Stage - 1,25,Germany,True,16,Mexico,0,1,9,8,26,9,12,14,10,8,1,66.0,2,0,3,596,518,87.0
135786,2018,2018-06-17T15:00:00+00:00,Group Stage - 1,16,Mexico,False,25,Germany,1,0,4,7,13,2,5,8,16,1,1,34.0,2,0,9,304,232,76.0
135787,2018,2018-06-17T18:00:00+00:00,Group Stage - 1,6,Brazil,True,15,Switzerland,1,1,5,10,21,6,12,9,11,7,1,54.0,1,0,1,544,478,88.0
135787,2018,2018-06-17T18:00:00+00:00,Group Stage - 1,15,Switzerland,False,6,Brazil,1,1,2,4,6,0,3,3,19,2,0,46.0,3,0,3,453,362,80.0
135788,2018,2018-06-18T12:00:00+00:00,Group Stage - 1,5,Sweden,True,17,South Korea,1,0,4,5,15,6,9,6,20,6,1,55.0,1,0,0,447,362,81.0
135788,2018,2018-06-18T12:00:00+00:00,Group Stage - 1,17,South Korea,False,5,Sweden,0,1,0,2,5,3,3,2,23,5,0,45.0,2,0,3,359,281,78.0
135789,2018,2018-06-18T15:00:00+00:00,Group Stage - 1,1,Belgium,True,11,Panama,3,0,6,7,15,2,10,5,17,9,1,61.0,3,0,2,568,485,85.0
135789,2018,2018-06-18T15:00:00+00:00,Group Stage - 1,11,Panama,False,1,Belgium,0,3,2,4,7,1,3,4,18,3,2,39.0,5,0,3,354,283,80.0
135790,2018,2018-06-18T18:00:00+00:00,Group Stage - 1,28,Tunisia,True,10,England,1,2,1,3,6,2,3,3,14,2,2,39.0,0,0,5,352,273,78.0
135790,2018,2018-06-18T18:00:00+00:00,Group Stage - 1,10,England,False,28,Tunisia,2,1,8,8,18,2,14,4,8,7,3,61.0,1,0,0,531,457,86.0
135791,2018,2018-06-19T12:00:00+00:00,Group Stage - 1,8,Colombia,True,12,Japan,1,2,3,1,8,4,5,3,15,3,2,38.0,2,1,4,376,289,77.0
135791,2018,2018-06-19T12:00:00+00:00,Group Stage - 1,12,Japan,False,8,Colombia,2,1,6,5,14,3,12,2,9,6,1,62.0,1,0,2,595,516,87.0
135792,2018,2018-06-19T15:00:00+00:00,Group Stage - 1,24,Poland,True,13,Senegal,1,2,4,6,11,1,6,5,8,3,3,61.0,1,0,1,569,472,83.0
135792,2018,2018-06-19T15:00:00+00:00,Group Stage - 1,13,Senegal,False,24,Poland,2,1,2,4,8,2,6,3,15,3,2,39.0,2,0,3,360,279,78.0
135793,2018,2018-06-19T18:00:00+00:00,Group Stage - 2,4,Russia,True,32,Egypt,3,1,3,6,11,2,5,7,11,7,0,49.0,1,0,0,422,304,72.0
135793,2018,2018-06-19T18:00:00+00:00,Group Stage - 2,32,Egypt,False,4,Russia,1,3,1,8,13,4,7,6,10,4,0,51.0,1,0,1,443,347,78.0
135794,2018,2018-06-20T12:00:00+00:00,Group Stage - 2,27,Portugal,True,31,Morocco,1,0,2,4,10,4,4,6,19,5,1,45.0,1,0,4,396,284,72.0
135794,2018,2018-06-20T12:00:00+00:00,Group Stage - 2,31,Morocco,False,27,Portugal,0,1,4,9,15,2,11,4,23,7,1,55.0,1,0,1,467,357,76.0
135795,2018,2018-06-20T15:00:00+00:00,Group Stage - 2,7,Uruguay,True,23,Saudi Arabia,1,0,3,6,13,4,9,4,10,3,1,47.0,0,0,2,502,426,85.0
135795,2018,2018-06-20T15:00:00+00:00,Group Stage - 2,23,Saudi Arabia,False,7,Uruguay,0,1,2,4,8,2,3,5,13,4,2,53.0,0,0,2,550,478,87.0
135796,2018,2018-06-20T18:00:00+00:00,Group Stage - 2,22,Iran,True,9,Spain,0,1,0,7,7,0,5,2,14,2,2,22.0,2,0,2,216,139,64.0
135796,2018,2018-06-20T18:00:00+00:00,Group Stage - 2,9,Spain,False,22,Iran,1,0,5,5,18,8,10,8,14,6,1,78.0,0,0,0,776,701,90.0
135797,2018,2018-06-21T12:00:00+00:00,Group Stage - 2,21,Denmark,True,20,Australia,1,1,5,5,10,0,7,3,7,3,1,47.0,2,0,3,453,388,86.0
135797,2018,2018-06-21T12:00:00+00:00,Group Stage - 2,20,Australia,False,21,Denmark,1,1,4,4,13,5,8,5,5,5,0,53.0,0,0,5,504,423,84.0
135798,2018,2018-06-21T15:00:00+00:00,Group Stage - 2,2,France,True,30,Peru,1,0,4,6,12,2,9,3,11,5,0,43.0,2,0,2,396,308,78.0
135798,2018,2018-06-21T15:00:00+00:00,Group Stage - 2,30,Peru,False,2,France,0,1,2,6,10,2,3,7,15,3,1,57.0,2,0,3,513,416,81.0
135799,2018,2018-06-21T18:00:00+00:00,Group Stage - 2,26,Argentina,True,3,Croatia,0,3,3,3,10,4,8,2,16,5,3,57.0,3,0,2,499,397,80.0
135799,2018,2018-06-21T18:00:00+00:00,Group Stage - 2,3,Croatia,False,26,Argentina,3,0,5,6,14,3,7,7,22,2,3,43.0,4,0,3,367,278,76.0
135800,2018,2018-06-22T12:00:00+00:00,Group Stage - 2,6,Brazil,True,29,Costa Rica,2,0,10,10,22,2,12,10,11,9,3,71.0,2,0,0,705,645,91.0
135800,2018,2018-06-22T12:00:00+00:00,Group Stage - 2,29,Costa Rica,False,6,Brazil,0,2,0,3,3,0,1,2,11,1,3,29.0,1,0,7,280,198,71.0
135801,2018,2018-06-22T15:00:00+00:00,Group Stage - 2,19,Nigeria,True,18,Iceland,2,0,4,6,16,6,7,9,9,6,1,61.0,1,0,3,488,394,81.0
135801,2018,2018-06-22T15:00:00+00:00,Group Stage - 2,18,Iceland,False,19,Nigeria,0,2,3,5,9,1,6,3,10,5,0,39.0,0,0,2,303,215,71.0
135802,2018,2018-06-22T18:00:00+00:00,Group Stage - 2,14,Serbia,True,15,Switzerland,1,2,3,8,13,2,10,3,17,3,0,37.0,4,0,3,308,234,76.0
135802,2018,2018-06-22T18:00:00+00:00,Group Stage - 2,15,Switzerland,False,14,Serbia,2,1,5,7,20,8,8,12,13,7,3,63.0,1,0,2,535,455,85.0
135803,2018,2018-06-23T12:00:00+00:00,Group Stage - 2,1,Belgium,True,28,Tunisia,5,2,12,8,23,3,15,8,12,5,3,49.0,0,0,3,445,374,84.0
135803,2018,2018-06-23T12:00:00+00:00,Group Stage - 2,28,Tunisia,False,1,Belgium,2,5,5,8,16,3,5,11,13,2,3,51.0,1,0,6,452,367,81.0
135804,2018,2018-06-23T15:00:00+00:00,Group Stage - 2,17,South Korea,True,16,Mexico,1,2,6,2,17,9,6,11,24,7,0,41.0,4,0,3,344,279,81.0
135804,2018,2018-06-23T15:00:00+00:00,Group Stage - 2,16,Mexico,False,17,South Korea,2,1,5,7,13,1,7,6,7,5,0,59.0,0,0,5,476,415,87.0
135805,2018,2018-06-23T18:00:00+00:00,Group Stage - 2,25,Germany,True,5,Sweden,2,1,6,5,18,7,11,7,12,8,5,75.0,2,1,4,676,600,89.0
135805,2018,2018-06-23T18:00:00+00:00,Group Stage - 2,5,Sweden,False,25,Germany,1,2,5,1,7,1,6,1,13,3,2,25.0,2,0,4,222,154,69.0
135806,2018,2018-06-24T12:00:00+00:00,Group Stage - 2,10,England,True,11,Panama,6,1,7,2,11,2,7,4,13,3,3,59.0,1,0,1,594,547,92.0
